ip.src,ip.dst,eth.src,eth.dst,frame.len,frame.time_epoch,relative_time
10.0.0.4,10.0.0.1,00:00:00:00:00:04,00:00:00:00:00:01,1514,1681750616.812385,6822.710576057434
10.0.0.4,10.0.0.1,00:00:00:00:00:04,00:00:00:00:00:01,1514,1681750616.812393,6822.710583925247
10.0.0.4,10.0.0.1,00:00:00:00:00:04,00:00:00:00:00:01,1514,1681750616.812397,6822.710587978363
10.0.0.4,10.0.0.1,00:00:00:00:00:04,00:00:00:00:00:01,1514,1681750616.812403,6822.7105939388275
10.0.0.4,10.0.0.1,00:00:00:00:00:04,00:00:00:00:00:01,7306,1681750616.812561,6822.7107520103455
10.0.0.4,10.0.0.1,00:00:00:00:00:04,00:00:00:00:00:01,10202,1681750616.812598,6822.710788965225
10.0.0.4,10.0.0.1,00:00:00:00:00:04,00:00:00:00:00:01,4410,1681750616.812602,6822.710793018341
10.0.0.4,10.0.0.1,00:00:00:00:00:04,00:00:00:00:00:01,14546,1681750616.812605,6822.710795879364
10.0.0.4,10.0.0.1,00:00:00:00:00:04,00:00:00:00:00:01,21786,1681750616.812608,6822.7107989788055
10.0.0.4,10.0.0.1,00:00:00:00:00:04,00:00:00:00:00:01,7306,1681750616.812611,6822.710802078247
10.0.0.4,10.0.0.1,00:00:00:00:00:04,00:00:00:00:00:01,7306,1681750616.812615,6822.710805892944
10.0.0.4,10.0.0.1,00:00:00:00:00:04,00:00:00:00:00:01,21786,1681750616.812616,6822.710807085037
10.0.0.4,10.0.0.1,00:00:00:00:00:04,00:00:00:00:00:01,43506,1681750616.81262,6822.7108108997345
10.0.0.4,10.0.0.1,00:00:00:00:00:04,00:00:00:00:00:01,14546,1681750616.812625,6822.710815906525
10.0.0.4,10.0.0.1,00:00:00:00:00:04,00:00:00:00:00:01,44954,1681750616.812629,6822.7108199596405
10.0.0.4,10.0.0.1,00:00:00:00:00:04,00:00:00:00:00:01,5858,1681750616.812634,6822.710824966431
10.0.0.4,10.0.0.1,00:00:00:00:00:04,00:00:00:00:00:01,1754,1681750616.812636,6822.710826873779
10.0.0.4,10.0.0.1,00:00:00:00:00:04,00:00:00:00:00:01,83,1681750616.812765,6822.710955858231
10.0.0.4,10.0.0.1,00:00:00:00:00:04,00:00:00:00:00:01,66,1681750616.81987,6822.718060970306
10.0.0.4,10.0.0.1,00:00:00:00:00:04,00:00:00:00:00:01,66,1681750616.819886,6822.718076944351
10.0.0.4,10.0.0.1,00:00:00:00:00:04,00:00:00:00:00:01,66,1681750616.819941,6822.718132019043
10.0.0.4,10.0.0.1,00:00:00:00:00:04,00:00:00:00:00:01,66,1681750616.820093,6822.718283891678
10.0.0.4,10.0.0.1,00:00:00:00:00:04,00:00:00:00:00:01,109,1681750616.820107,6822.718297958374
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,78,1681750616.823359,6822.721549987793
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,78,1681750616.823209,6822.721400022507
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,86,1681750616.823369,6822.721560001373
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,86,1681750616.823222,6822.72141289711
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,86,1681750616.823378,6822.721569061279
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,78,1681750616.823384,6822.721575021744
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,78,1681750616.823388,6822.72157907486
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,78,1681750616.823238,6822.721428871155
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,66,1681750616.823238,6822.721428871155
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,66,1681750616.823238,6822.721428871155
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,66,1681750616.823395,6822.721585988998
10.0.0.2,10.0.0.1,00:00:00:00:00:02,00:00:00:00:00:01,78,1681750616.823248,6822.721438884735
